1,,01/01/2016,05/01/2016,1234
1,02/01/2016,06/01/2016,10/01/2016,2222
1,,12/01/2016,15/01/2016,7777
1,,16/01/2016,18/01/2016,9033
2,,01/02/2016,05/02/2016,2654
2,02/02/2016,06/02/2016,10/02/2016,4444
2,,12/02/2016,15/02/2016,7676
2,,16/02/2016,18/02/2016,9091
3,,01/03/2016,05/03/2016,1234
3,02/03/2016,06/03/2016,10/03/2016,4549
3,,12/03/2016,15/03/2016,9912
3,,16/03/2016,18/03/2016,4834
4,,01/04/2016,05/04/2016,1220
4,02/04/2016,06/04/2016,10/04/2016,7200
4,,12/04/2016,15/04/2016,9199
4,,16/04/2016,18/04/2016,8233
5,,01/05/2016,05/05/2016,1234
5,02/05/2016,06/05/2016,10/05/2016,2222
5,,12/05/2016,15/05/2016,7777
5,,16/05/2016,18/05/2016,9033
6,,01/06/2016,05/06/2016,2654
6,02/06/2016,06/06/2016,10/06/2016,4444
6,,12/06/2016,15/06/2016,7676
6,,16/06/2016,18/06/2016,9091
7,,01/07/2016,05/07/2016,1234
7,02/07/2016,06/07/2016,10/07/2016,4549
7,,12/07/2016,15/07/2016,9912
7,,16/07/2016,18/07/2016,4834
8,,01/08/2016,05/08/2016,1220
8,02/08/2016,06/08/2016,10/08/2016,7200
8,,12/08/2016,15/08/2016,9199
8,,16/08/2016,18/08/2016,8233
9,,01/09/2016,05/09/2016,1234
9,02/09/2016,06/09/2016,10/09/2016,4549
9,,12/09/2016,15/09/2016,9912
9,,16/09/2016,18/09/2016,4834
10,,01/10/2016,05/10/2016,1220
10,02/10/2016,06/10/2016,10/10/2016,7200
10,,12/10/2016,15/10/2016,9199
10,,16/10/2016,18/10/2016,8233
11,,01/01/2016,05/01/2016,1234
11,02/01/2016,06/01/2016,10/01/2016,2222
11,,12/01/2016,15/01/2016,7777
11,,16/01/2016,18/01/2016,9033
12,,01/02/2016,05/02/2016,2654
12,02/02/2016,06/02/2016,10/02/2016,4444
12,,12/02/2016,15/02/2016,7676
12,,16/02/2016,18/02/2016,9091
13,,01/03/2016,05/03/2016,1234
13,02/03/2016,06/03/2016,10/03/2016,4549
13,,12/03/2016,15/03/2016,9912
13,,16/03/2016,18/03/2016,4834
14,,01/04/2016,05/04/2016,1220
14,02/04/2016,06/04/2016,10/04/2016,7200
14,,12/04/2016,15/04/2016,9199
14,,16/04/2016,18/04/2016,8233
15,,01/05/2016,05/05/2016,1234
15,02/05/2016,06/05/2016,10/05/2016,2222
15,,12/05/2016,15/05/2016,7777
15,,16/05/2016,18/05/2016,9033
16,,01/06/2016,05/06/2016,2654
16,02/06/2016,06/06/2016,10/06/2016,4444
16,,12/06/2016,15/06/2016,7676
16,,16/06/2016,18/06/2016,9091
17,,01/07/2016,05/07/2016,1234
17,02/07/2016,06/07/2016,10/07/2016,4549
17,,12/07/2016,15/07/2016,9912
17,,16/07/2016,18/07/2016,4834
18,,01/08/2016,05/08/2016,1220
18,02/08/2016,06/08/2016,10/08/2016,7200
18,,12/08/2016,15/08/2016,9199
18,,16/08/2016,18/08/2016,8233
19,,01/09/2016,05/09/2016,1234
19,02/09/2016,06/09/2016,10/09/2016,4549
19,,12/09/2016,15/09/2016,9912
19,,16/09/2016,18/09/2016,4834
20,,01/10/2016,05/10/2016,1220
20,02/10/2016,06/10/2016,10/10/2016,7200
20,,12/10/2016,15/10/2016,9199
20,,16/10/2016,18/10/2016,8233
21,,01/01/2018,05/01/2018,1234
21,02/01/2018,06/01/2018,10/01/2018,2222
21,,12/01/2018,15/01/2018,7777
21,,16/01/2018,18/01/2018,9033
22,,01/02/2018,05/02/2018,2654
